Ind1_rand_short_slope,Ind2_rand_short_slope,Dyad_rand_short_slope,Ind1_rand_long_slope,Ind2_rand_long_slope,Dyad_rand_long_slope
0.0863282252541206,0.0854593652339059,0.0960517682039361,0.0873339372355378,0.111021162141924,0.0860867443602179
0.0960517682039361,0.0960517682039361,0.0766335115710417,0.0982758264247329,0.0578203824867652,0.110758898901891
0.043573193310549,0.00118604803775039,0.0619460945017276,0.0427414117177795,-0.0217924623213517,0.116786454509517
0.0943665517289857,0.0601833254893258,0.0643885892214321,0.0623471494246183,0.0211565603997684,0.0510767615694809
0.0888118174491235,-0.0136307541851644,0.0919432908397609,0.0673774052903527,0.00582481253550015,0.0860867443602179
0.0990035687584409,0.013703728724756,0.150841554986098,0.101441251450447,-0.015821717089664,0.167531941794024
0.0762143302265741,-0.0128132029797999,0.0910189925896122,0.0763880811779149,-0.0184230821754247,0.135659923843405
0.0919432908397609,-0.0300341206207305,0.0712271459224496,0.0743004067559286,0.00627454277295626,0.00541706295958304
0.0934205583634919,-0.0394570000614055,0.0888118174491235,0.0540128107916425,0.0126785336363242,0.0493033898354952
0.0558316698443548,0.00866509164355369,0.113286653893043,0.0398428756771729,-0.0203195881792451,0.114960876778618
0.128170416460563,-0.00247394499241552,0.115172537633292,0.0982534926461675,0.013809663376646,-0.0105675867910872
0.0444433888923519,0.0359027469906573,0.0919432908397609,0.071241660754437,0.027494422349324,0.0612646521843418
0.122802012939533,-0.0221140876331132,0.127152651054369,0.0754329901918442,-0.0103658660517449,0.094731709039525
0.0746694837522666,-0.0131265299425277,0.10904358778819,-0.00252499398363637,-0.022507562661765,0.127486213784473
0.0747396795960526,-0.0137856791990095,0.137053270710461,0.17681191326699,0.00761309831731484,0.077304445705824
0.0694629100432152,0.0927835431172773,0.113748871405441,0.0525168255664323,0.0857207871446562,0.10363202744595
0.0789737177092188,0.102521543664032,0.169033642935091,0.0130201156491554,0.0741427011149755,0.111448327223615
